city,state,region,population,lat,long,tree_city_usa,ref_number_trees,ref_number_species,ref_effective_species,ref_percent_native,ref_most_common_species,ref_most_common_genus,elevation_m,area_km2,pct_water,pct_parkland,pct_impervious_proxy,population_density_per_km2,trees_per_km2,trees_per_1000_pop
Phoenix,Arizona,West,1513367,33.4483771,-112.0740373,yes,214,49,33.4195235606955,0.219101123595506,Fraxinus velutina,Fraxinus,351.0,1344.7788930160286,,,,1125.364926427323,0.15913396701226282,0.1414065458015141
Pittsburgh,Pennsylvania,Northeast,305841,40.4406248,-79.9958864,yes,45703,206,37.4074395099456,0.427228902610768,Acer platanoides,Acer,231.0,150.81731923802107,,,,2027.8904408672013,303.0354884366508,149.43385615401468
Plano,Texas,South,274409,33.0198431,-96.6988856,yes,28375,78,18.6144175354933,0.873954050785973,Ulmus crassifolia,Quercus,207.0,186.5426788415253,,,,1471.0252994335967,152.10996312594816,103.40404287031402
Portland,Oregon,West,609456,45.5230622,-122.6764816,yes,218602,150,39.7936556916093,0.116057233704293,Acer platanoides,Acer,14.0,374.5674410866325,,,,1627.092836024263,583.611857362264,358.6838098238429
Providence,Rhode Island,Northeast,177994,41.8239891,-71.4128343,yes,24525,107,23.1927200546696,0.296978909367281,Acer platanoides,Acer,-18.0,49.82505648910899,,,,3572.3792915098215,492.2222216719573,137.78554333292135
Rancho Cucamonga,California,West,171386,34.1063989,-117.5931084,no,82947,187,29.9305589024467,0.0160121109784855,Lagerstroemia indica,Lagerstroemia,373.0,119.70264366831044,0.032944049216983746,0.0479102492133665,0.4215478922827354,1431.7645354174579,692.942089314599,483.9776877924685
Richmond,Virginia,South,214114,37.5407246,-77.4360481,yes,3272,78,27.1837240756162,0.648725212464589,Acer saccharum,Acer,57.0,161.64093465971624,,,,1324.6273318744982,20.242397180442932,15.281578971949521
Rochester,New York,Northeast,210358,43.16103,-77.6109219,yes,64056,163,38.3301467475199,0.406122801391322,Gleditsia triacanthos,Acer,155.0,95.04349641969597,,,,2213.281370364309,673.9651045363437,304.5094553095199
Sacramento,California,West,479686,38.5815719,-121.4943996,yes,87191,99,33.91559593678,0.166091832973514,Platanus acerifolia,Platanus,18.0,256.77536841592456,,,,1868.1153218053414,339.56138603905373,181.7668224630279
San Diego,California,West,1355896,32.715738,-117.1610838,yes,212304,121,35.2938931900293,0.0982413865010774,Syagrus romanzoffianum,Syagrus,23.0,964.7741242281253,,,,1405.4025351113087,220.0556530989628,156.57838064276316
San Francisco,California,West,837442,37.7749295,-122.4194155,yes,188462,404,63.2367175927233,0.0283141134151502,Platanus acerifolia,Prunus,16.0,601.385270978931,,,,1392.5216336556055,313.37980674721683,225.0448389261585
San Jose,California,West,998537,37.3382082,-121.8863286,yes,347669,424,54.3756666716505,0.069293925801821,Platanus acerifolia,Platanus,24.0,468.4915362557798,,,,2131.3874909681062,742.1030543659278,348.1783849772217
Santa Rosa,California,West,171990,38.440429,-122.7140548,no,3016,16,6.50091518199752,0.659090909090909,Quercus,Quercus,55.0,110.78924817588036,,,,1552.4069603483733,27.22285826158901,17.535903250188966
Seattle,Washington,West,652405,47.6062095,-122.3320708,yes,165623,399,93.3012708231648,0.0755488312740221,Prunus cerasifera,Acer,64.0,373.3954300122897,,,,1747.2227766111844,443.55925832983223,253.8653137238372
Sioux Falls,South Dakota,Midwest,164676,43.5445959,-96.7311034,yes,63024,139,14.3929129717648,0.621795760011085,Fraxinus pennsylvanica,Fraxinus,440.0,221.1029230152803,,,,744.7934100293162,285.04372145113814,382.7151497485973
St. Louis,Missouri,Midwest,318416,38.6270025,-90.1994042,yes,83594,204,29.5704679033734,0.67817785750897,Acer rubrum,Acer,143.0,171.8333432079695,,,,1853.051299913439,486.4829982317598,262.53077734787195
Stockton,California,West,298118,37.9577016,-121.2907796,no,98300,252,38.7977284148009,0.131053170079041,Pistacia chinensis,Pistacia,5.0,155.89851429318006,,,,1912.2568380566117,630.538401508681,329.7352055226454
Tampa,Florida,South,352957,27.950575,-82.4571776,yes,25501,178,19.9220523040392,0.725698185133007,Quercus virginiana,Quercus,42.0,459.6112934436205,,,,767.9467520379728,55.48384115832904,72.2495941431959
Washington (DC),District of Columbia,South,646449,38.9071923,-77.0368707,yes,190991,138,49.7534959186669,0.560706173859178,Acer rubrum,Quercus,28.0,177.21617579989237,,,,3647.7990628234325,1077.7289326887505,295.44635385003306
Worcester,Massachusetts,Northeast,182544,42.2625932,-71.8022934,yes,17454,87,5.85847113414328,0.281233315536572,Acer platanoides,Acer,154.0,99.5673451687609,,,,1833.3721732822992,175.29843715744835,95.61530370759927
